id,name,body_part,page,image_url
00003317,"Romboidal","Back",211,""
00003318,"romboide menor","Back",211,""
00003319,"Sartorio","Thighs",211,""
00003320,"semimembranoso","Thighs",211,""
00003321,"Semiespinal de la cabeza","Back",211,""
00003322,"semitendinoso","Thighs",211,""
00003323,"serrato anterior","Chest",83,""
00003324,"Serrato posterior","Back",211,""
00003325,"SÃ³leo","Calves",211,""
00003326,"esplenio de la cabeza","Back",211,""
00003327,"esternocleidomastoideo","Neck",170,""
00003328,"esternohioideo","Neck",185,""
00003329,"supraespinoso","Shoulders",135,""
00003330,"Tensor de la fascia lata","Hips",211,""
00003331,"Teres Mayor","Back",170,""
00003332,"Teres Menor","Back",211,""
00003333,"Tibial anterior","Calves",51,""
00003334,"tibial posterior","Calves",170,""
00003335,"trapecio","Back",60,""
00003336,"TrÃ­ceps braquial Cabeza lateral","Triceps Upper Arms",212,""
00003337,"TrÃ­ceps braquial Cabeza larga","Triceps Upper Arms",212,""
00003338,"TrÃ­ceps braquial","Triceps Upper Arms",212,""
00003339,"TrÃ­ceps braquial Cabeza medial","Triceps Upper Arms",64,""
00003340,"Vasto lateral","Thighs",212,""
00003341,"Vasto medial","Thighs",212,""
00003343,"secuestradores","Hips",44,""
00003344,"Diafragma","Waist",212,""
00003345,"Erector de la columna","Back",212,""
00003346,"Flexores de cadera","Hips",212,""
00003347,"Intercostal","Chest",170,""
00003348,"oblicuos internos","Waist",212,""
00003349,"multÃ­fido","Back",212,""
00003350,"psoas menor","Hips",212,""
00003351,"Cuadrado lumbar","Hips",212,""
00003352,"Manguito rotador","Shoulders",94,""
00003353,"espinal","Back",120,""
00003354,"subescapular","Shoulders",135,""
00003355,"transverso del abdomen","Waist",120,""
00003356,"vasto intermedio","Thighs",212,""
00003434,"MediciÃ³n","n u l l",212,""
00003435,"MediciÃ³n","n u l l",212,""
00004391,"mÃºsculos del cuerpo","n u l l",223,""
00004409,"Peso muerto - Postura inicial","Hips",224,""
00004410,"Peso muerto sumo - Postura final","Hips",224,""
00004504,"Pose de culturismo masculino","n u l l",224,""
00004505,"Postura de culturismo masculino-femenino","n u l l",224,""
00004506,"Postura de culturismo masculino-femenino","n u l l",224,""
00004507,"Postura amplia de peso muerto","Hips",224,""
00004508,"Postura de Arnold","n u l l",224,""
00004509,"Postura de Arnold","n u l l",224,""
00004515,"Postura de bÃ­ceps con mancuernas","Biceps Upper Arms",224,""
00004629,"Estocada frontal con barra","Quadriceps Thighs",226,""
00004903,"Postura de pie","Full body",229,""
00004904,"Postura de pie","Full body",229,""
00005029,"Insecto muerto","Waist",231,""
00005033,"Estocada con elevaciÃ³n de piernas","Plyometrics",231,""
00005044,"Fila de pulso","Back",231,""
00005048,"Mentir alrededor del mundo","Shoulders",231,""
00005049,"HiperextensiÃ³n del suelo tumbado","Hips",231,""
00005051,"HiperextensiÃ³n en el suelo tumbado con toalla","Hips",231,""
00005069,"giro de banda","Waist",231,""
00005145,"Punta del pie en cuclillas","Thighs",232,""
00005212,"Curva lateral de pie","Waist",233,""
00005214,"ElevaciÃ³n de piernas alternativa con cabeza arriba","Waist",233,""
00005216,"V arriba con aplauso","Waist",233,""
00005219,"Toque del talÃ³n de 90 grados","Waist",233,""
00005230,"Levantamiento de cadera con pierna acostada en el suelo","Waist",233,""
00005233,"Crunch de 8 piernas sentado","Waist",233,""
00005290,"Crunch de rodillas con banda","Waist",234,""
00005291,"Crunch inverso de banda","Waist",234,""
00005292,"Curva lateral aÃ©rea de banda","Waist",234,""
00005293,"Crunch superior de la banda","Waist",234,""
00005294,"Curl de bÃ­ceps horizontal con banda","Biceps Upper Arms",234,""
00005296,"Curl de bÃ­ceps estÃ¡ndar con banda","Biceps Upper Arms",234,""
00005297,"Curl de bÃ­ceps con banda de 45 grados","Biceps Upper Arms",234,""
00005345,"Sentadilla dividida en banda","Quadriceps Thighs",235,""
00005346,"AbducciÃ³n cruzada en banda","Hips",235,""
00005347,"Giro en cuclillas con banda","Waist",235,""
00005349,"ExtensiÃ³n de trÃ­ceps por encima de la cabeza con banda","Triceps Upper Arms",235,""
00005352,"Pressdown con agarre inverso y acostado con banda","Upper Arms",235,""
00005354,"Banda Inclinada Sobre Lat Pulldown","Back",235,""
00005356,"Remo con giro de un solo brazo de pie con banda","Back",235,""
00005357,"Banda Agarre Estrecho Remo Alto","Back",235,""
00005358,"Banda Agarre Estrecho Remo Alto","Back",235,""
00005468,"Crujido de brazo largo","Waist",237,""
00005471,"Crujido con toque de rodilla","Waist",237,""
00005473,"V arriba con aplauso","Waist",237,""
00005474,"Sentado hacia adentro y hacia afuera, elevaciÃ³n de piernas en el piso","Waist",237,""
00005491,"Peso muerto con piernas rectas y mancuernas","Hips",237,""
00005561,"Sentadilla patinadora contrapesada","Thighs",238,""
00005613,"Toque de suelo en cuclillas de sumo","Hips",238,""
00005614,"Levantamiento de piernas acostado","Hips",238,""
00005622,"Curl con una sola pierna tumbado en palanca","Hamstrings Thighs",238,""
00005627,"Sentadilla hasta la rodilla","Plyometrics",238,""
00005628,"Paso alterno","Plyometrics",239,""
00005629,"Curl alterno de isquiotibiales con Punche","Plyometrics",239,""
00005630,"paso de gato","Plyometrics",239,""
00005733,"Estocada diagonal","Plyometrics",241,""
00005746,"Step-up con mancuernas y elevaciÃ³n de rodillas","Hips",241,""
00005747,"Contragolpe de agarre neutro del cable","Triceps Upper Arms",241,""
00005779,"Rollo tensor de la fascia lata","Hips",242,""
00005780,"Rollo Iliospsoas","Hips",242,""
00005781,"Rueda de bola en la parte inferior de la espalda","Hips",242,""
00005782,"Estiramiento de libro abierto","n u l l",242,""
00005784,"Estiramiento de rejilla frontal de PVC","Back",242,""
00005785,"Buenos dÃ­as PVC","Hips",242,""
00005786,"Bisagra de cadera de PVC","Hips",242,""
00005787,"Sentadilla por encima de la cabeza con PVC","Quadriceps Thighs",242,""
00005789,"Acostado de lado a lado de rodilla","Hips",242,""
00005791,"Peso corporal de pie alrededor del mundo apoyado en la pared","Shoulders",242,""
00005792,"Press militar de pie con peso corporal apoyado en la pared","Shoulders",242,""
00005794,"Remolinos de cadera","Hips",242,""
00005796,"Peso muerto con banda","Hips",242,""
00005798,"Crujido giratorio","Waist",242,""
00005808,"Balanceos de piernas de lado a lado","Hips",242,""
00005809,"Patadas agitadas","Hips",242,""
00005810,"Giro ruso con las manos en el pecho","Waist",242,""
00005811,"De pie, con una sola pierna, patada alta desde la rodilla hasta el trasero con apoyo","Hips",242,""
00005813,"Pulso de rodillas","Hips",243,""
00005814,"AducciÃ³n de cadera acostada de lado","Hips",243,""
00005815,"FlexiÃ³n de rodillas con golpe de hombro","Plyometrics",243,""
00005817,"Golpe de hombro","Waist",243,""
00005818,"Golpecito en el hombro de rodillas","Waist",243,""
00005822,"Palma arriba Palma abajo RotaciÃ³n","Shoulders",243,""
00005824,"Patada con rodilla doblada hacia atrÃ¡s y hacia el costado","Hips",243,""
00005846,"Puente de glÃºteos con pierna sobre rodilla","Hips",243,""
00005847,"Arrodillarse con la pierna lateral para patear","Hips",243,""
00005848,"Patada con rodilla doblada hacia atrÃ¡s y hacia el costado","Hips",243,""
00005849,"Medio cÃ­rculo con la pierna arrodillada","Hips",243,""
00005858,"Superman alterno","Hips",244,""
00005859,"Sentadilla completa con peso corporal y press por encima de la cabeza","Plyometrics",244,""
00005861,"Superman alterno","Hips",244,""
00005865,"InmersiÃ³n asistida por banda","Upper Arms",244,""
00005866,"Crunch de rodillas con banda","Waist",244,""
00005870,"Ãnimo","Back",244,""
00005871,"Ãnimo","Back",244,""
00005873,"Crujido","Waist",244,""
00005874,"InmersiÃ³n en banco con mancuernas","Upper Arms",244,""
00005875,"InmersiÃ³n en banco con mancuernas y piernas elevadas","Upper Arms",244,""
00005877,"Press de banca con puente con mancuernas","Chest",244,""
00005878,"Sentadillas cosacas con mancuernas","Thighs",244,""
00031101,"bicicleta de aire","Waist",8,"https://lyfta.app/images/exercises/00031101.png"
00041101,"Crujido de torsiÃ³n de aire","Waist",7,"https://lyfta.app/images/exercises/00041101.png"
00081101,"ElevaciÃ³n alternativa de piernas en el suelo tumbado","Waist",21,"https://lyfta.app/images/exercises/00081101.png"
00111101,"ElevaciÃ³n asistida de rodillas colgantes","Waist",51,"https://lyfta.app/images/exercises/00111101.png"
00131101,"ElevaciÃ³n de piernas acostada asistida con lanzamiento hacia abajo","Waist",96,"https://lyfta.app/images/exercises/00131101.png"
00151101,"Pull-up con agarre cerrado paralelo asistido","Back",124,"https://lyfta.app/images/exercises/00151101.png"
00161101,"Isquiotibial en decÃºbito prono asistido","Hamstrings Thighs",141,"https://lyfta.app/images/exercises/00161101.png"
00171101,"Dominadas asistidas","Back",7,"https://lyfta.app/images/exercises/00171101.png"
00191101,"InmersiÃ³n de trÃ­ceps asistida","Triceps Upper Arms",3,"https://lyfta.app/images/exercises/00191101.png"
00211101,"Abdominales con pelota","Waist",44,"https://lyfta.app/images/exercises/00211101.png"
00221101,"Jersey con barra para presionar","Back",87,"https://lyfta.app/images/exercises/00221101.png"
00271101,"Remo inclinado con barra","Back",8,"https://lyfta.app/images/exercises/00271101.png"
00341101,"Jersey con brazo doblado rechazado","Back",34,"https://lyfta.app/images/exercises/00341101.png"
00351101,"DeclinaciÃ³n con barra, agarre cercano al press de crÃ¡neo","Triceps Upper Arms",80,"https://lyfta.app/images/exercises/00351101.png"
00371101,"Jersey con agarre ancho Decline","Back",55,"https://lyfta.app/images/exercises/00371101.png"
00391101,"Sentadilla frontal con pecho","Quadriceps Thighs",36,"https://lyfta.app/images/exercises/00391101.png"
00421101,"Sentadilla frontal","Hips",20,"https://lyfta.app/images/exercises/00421101.png"
00451101,"Press de banca con barra y guillotina","Chest",90,"https://lyfta.app/images/exercises/00451101.png"
00461101,"Sentadilla hack con barra","Hips",92,"https://lyfta.app/images/exercises/00461101.png"
00491101,"Remo inclinado","Back",9,"https://lyfta.app/images/exercises/00491101.png"
00501101,"ElevaciÃ³n de hombros inclinada con barra","Chest",50,"https://lyfta.app/images/exercises/00501101.png"
00541101,"Estocada con barra","Quadriceps Thighs",62,"https://lyfta.app/images/exercises/00541101.png"
00561101,"ExtensiÃ³n de trÃ­ceps con agarre cerrado y tumbado con barra","Triceps Upper Arms",199,"https://lyfta.app/images/exercises/00561101.png"
00581101,"Acostado Levantando","Hips",34,"https://lyfta.app/images/exercises/00581101.png"
00621101,"Remo estrecho con barra","Back",118,"https://lyfta.app/images/exercises/00621101.png"
00641101,"Remo con barra inclinada con un brazo","Back",47,"https://lyfta.app/images/exercises/00641101.png"
00671101,"Arranque con barra a un brazo","Shoulders",152,"https://lyfta.app/images/exercises/00671101.png"
00681101,"Sentadilla con una pierna","Quadriceps Thighs",21,"https://lyfta.app/images/exercises/00681101.png"
00721101,"Curl inclinado boca abajo con barra","Biceps Upper Arms",57,"https://lyfta.app/images/exercises/00721101.png"
00741101,"Tirador del estante con barra","Hips",44,"https://lyfta.app/images/exercises/00741101.png"
00761101,"Remo deltoides trasero","Shoulders",27,"https://lyfta.app/images/exercises/00761101.png"
00781101,"Estocada trasera","Quadriceps Thighs",32,"https://lyfta.app/images/exercises/00781101.png"
00821101,"Curl de muÃ±eca inverso con barra","Forearms",77,"https://lyfta.app/images/exercises/00821101.png"
00851101,"Peso muerto rumano con barra","Hips",34,"https://lyfta.app/images/exercises/00851101.png"
00861101,"Press militar con barra sentado detrÃ¡s de la cabeza","Shoulders",60,"https://lyfta.app/images/exercises/00861101.png"
00891101,"Curl de concentraciÃ³n sentado con agarre cerrado","Biceps Upper Arms",26,"https://lyfta.app/images/exercises/00891101.png"
00901101,"Sentado Buenos dias","Hips",40,"https://lyfta.app/images/exercises/00901101.png"
00941101,"Giro sentado con barra","Waist",66,"https://lyfta.app/images/exercises/00941101.png"
00951101,"Encogimiento de hombros","Back",9,"https://lyfta.app/images/exercises/00951101.png"
00961101,"Lado de barra doblado","Waist",40,"https://lyfta.app/images/exercises/00961101.png"
00981101,"Sentadilla lateral dividida con barra","Quadriceps Thighs",199,"https://lyfta.app/images/exercises/00981101.png"
01041101,"Curl de muÃ±eca de pie con barra hacia atrÃ¡s","Forearms",22,"https://lyfta.app/images/exercises/01041101.png"
01081101,"ElevaciÃ³n de pantorrilla de pie con barra","Calves",77,"https://lyfta.app/images/exercises/01081101.png"
01111101,"ElevaciÃ³n de pantorrilla con barra de pie y mecedora","Calves",60,"https://lyfta.app/images/exercises/01111101.png"
01121101,"Giro de pie con barra","Waist",80,"https://lyfta.app/images/exercises/01121101.png"
01131101,"Curl con agarre ancho de pie con barra","Biceps Upper Arms",84,"https://lyfta.app/images/exercises/01131101.png"
01141101,"Aumentar","Quadriceps Thighs",43,"https://lyfta.app/images/exercises/01141101.png"
01151101,"Buenos dÃ­as con pierna rÃ­gida con barra","Hamstrings Thighs",66,"https://lyfta.app/images/exercises/01151101.png"
01161101,"Peso muerto con pierna recta con barra","Hamstrings Thighs",31,"https://lyfta.app/images/exercises/01161101.png"
01181101,"Agarre inverso con barra inclinada sobre remo","Back",65,"https://lyfta.app/images/exercises/01181101.png"
01191101,"Remo vertical con barra","Shoulders",118,"https://lyfta.app/images/exercises/01191101.png"
01201101,"Fila vertical","Shoulders",5,"https://lyfta.app/images/exercises/01201101.png"
01231101,"Remo vertical con barra y agarre ancho","Shoulders",55,"https://lyfta.app/images/exercises/01231101.png"
01241101,"Sentadilla ancha con barra","Quadriceps Thighs",87,"https://lyfta.app/images/exercises/01241101.png"
01271101,"Sentadilla Zercher con barra","Hips",179,"https://lyfta.app/images/exercises/01271101.png"
01281101,"Cuerdas de batalla","Shoulders",84,"https://lyfta.app/images/exercises/01281101.png"
01301101,"ExtensiÃ³n de cadera en banco","Hips",179,"https://lyfta.app/images/exercises/01301101.png"
01311101,"Giro acostado con la rodilla doblada","Waist",56,"https://lyfta.app/images/exercises/01311101.png"
01331101,"Plancha lateral con rodillas dobladas","Waist",7,"https://lyfta.app/images/exercises/01331101.png"
01341101,"FlexiÃ³n de rodilla lateral doblada","Hips",84,"https://lyfta.app/images/exercises/01341101.png"
01361101,"Estiramiento del barco","Waist",37,"https://lyfta.app/images/exercises/01361101.png"
01371101,"Cuerpo hacia arriba","Shoulders",33,"https://lyfta.app/images/exercises/01371101.png"
01381101,"De abajo hacia arriba","Waist",12,"https://lyfta.app/images/exercises/01381101.png"
01411101,"Puente - Alpinista","Waist",6,"https://lyfta.app/images/exercises/01411101.png"
01421101,"Puente","Waist",60,"https://lyfta.app/images/exercises/01421101.png"
01491101,"ExtensiÃ³n alternativa de trÃ­ceps con cable","Triceps Upper Arms",49,"https://lyfta.app/images/exercises/01491101.png"
01501101,"JalÃ³n lateral con barra de cable","Back",18,"https://lyfta.app/images/exercises/01501101.png"
01521101,"ExtensiÃ³n de concentraciÃ³n","Triceps Upper Arms",84,"https://lyfta.app/images/exercises/01521101.png"
01551101,"VariaciÃ³n del cruce de cables","Chest",30,"https://lyfta.app/images/exercises/01551101.png"
01571101,"Peso muerto con cables","Quadriceps Thighs",74,"https://lyfta.app/images/exercises/01571101.png"
01601101,"Remo con agarre ancho sentado en el suelo con cable","Back",164,"https://lyfta.app/images/exercises/01601101.png"
01631101,"Fila sentada delantera con cable","Back",72,"https://lyfta.app/images/exercises/01631101.png"
01681101,"AducciÃ³n de cadera","Thighs",77,"https://lyfta.app/images/exercises/01681101.png"
01691101,"Press de banca inclinado","Chest",24,"https://lyfta.app/images/exercises/01691101.png"
01721101,"Empuje inclinado","Back",48,"https://lyfta.app/images/exercises/01721101.png"
01751101,"Crujido de rodillas con cable","Waist",8,"https://lyfta.app/images/exercises/01751101.png"
01771101,"JalÃ³n lateral del cable","Back",38,"https://lyfta.app/images/exercises/01771101.png"
01791101,"Cable de vuelo bajo","Chest",4,"https://lyfta.app/images/exercises/01791101.png"
01821101,"Curl con agarre cerrado tendido con cable","Biceps Upper Arms",199,"https://lyfta.app/images/exercises/01821101.png"
01851101,"mosca mentirosa","Chest",66,"https://lyfta.app/images/exercises/01851101.png"
01871101,"ExtensiÃ³n de trÃ­ceps acostado","Triceps Upper Arms",37,"https://lyfta.app/images/exercises/01871101.png"
01891101,"Cable Un Brazo Inclinado Sobre Remo","Back",38,"https://lyfta.app/images/exercises/01891101.png"
01921101,"ElevaciÃ³n lateral con un brazo con cable","Shoulders",8,"https://lyfta.app/images/exercises/01921101.png"
01951101,"Curl de predicador de cable","Biceps Upper Arms",52,"https://lyfta.app/images/exercises/01951101.png"
01971101,"Cable desplegable","Back",69,"https://lyfta.app/images/exercises/01971101.png"
01991101,"Empuje hacia abajo","Back",9,"https://lyfta.app/images/exercises/01991101.png"
02061101,"Curl inverso del cable","Forearms",37,"https://lyfta.app/images/exercises/02061101.png"
02071101,"Empuje con agarre inverso del cable","Triceps Upper Arms",99,"https://lyfta.app/images/exercises/02071101.png"
02081101,"Remo alto sentado con respaldo recto y agarre inverso","Back",8,"https://lyfta.app/images/exercises/02081101.png"
02101101,"Curl de muÃ±eca invertido con cable","Forearms",63,"https://lyfta.app/images/exercises/02101101.png"
02121101,"Crunch sentado en cable","Waist",39,"https://lyfta.app/images/exercises/02121101.png"
02161101,"RotaciÃ³n interna del hombro sentado","Back",118,"https://lyfta.app/images/exercises/02161101.png"
02191101,"Press de hombros con cable","Shoulders",152,"https://lyfta.app/images/exercises/02191101.png"
02241101,"Curl de muÃ±eca con cable hacia atrÃ¡s","Forearms",57,"https://lyfta.app/images/exercises/02241101.png"
02271101,"Mosca de pie","Chest",16,"https://lyfta.app/images/exercises/02271101.png"
02321101,"Cable desplegable","Forearms",56,"https://lyfta.app/images/exercises/02321101.png"
02331101,"Remo Delt Trasero De Pie Con Cable","Shoulders",6,"https://lyfta.app/images/exercises/02331101.png"
02341101,"Fila de pie de cable","Back",80,"https://lyfta.app/images/exercises/02341101.png"
02351101,"RotaciÃ³n externa del hombro de pie","Back",33,"https://lyfta.app/images/exercises/02351101.png"
02371101,"Cable desplegable con brazo recto","Back",16,"https://lyfta.app/images/exercises/02371101.png"
02381101,"Cable desplegable con brazo recto","Back",87,"https://lyfta.app/images/exercises/02381101.png"
02391101,"Remo sentado con espalda recta y cable","Back",14,"https://lyfta.app/images/exercises/02391101.png"
02411101,"FlexiÃ³n de trÃ­ceps con cable","Triceps Upper Arms",7,"https://lyfta.app/images/exercises/02411101.png"
02421101,"Crujido inverso de flexiÃ³n de cables","Waist",118,"https://lyfta.app/images/exercises/02421101.png"
02461101,"Remo vertical con cable","Shoulders",35,"https://lyfta.app/images/exercises/02461101.png"
02501101,"Estiramiento de apariencia de techo","Quadriceps Thighs",132,"https://lyfta.app/images/exercises/02501101.png"
02511101,"InmersiÃ³n en el pecho","Chest",30,"https://lyfta.app/images/exercises/02511101.png"
02521101,"Estiramiento de la barbilla al pecho","Waist",66,"https://lyfta.app/images/exercises/02521101.png"
02531101,"Alza la barbilla","Back",164,"https://lyfta.app/images/exercises/02531101.png"
02541101,"Brazo de cÃ­rculos","Shoulders",41,"https://lyfta.app/images/exercises/02541101.png"
02561101,"Brazo de codo de cÃ­rculos","Shoulders",61,"https://lyfta.app/images/exercises/02561101.png"
02581101,"Flexiones de reloj","Chest",19,"https://lyfta.app/images/exercises/02581101.png"
02641101,"Gatos cruzados","Cardio",69,"https://lyfta.app/images/exercises/02641101.png"
02681101,"Crujido","Waist",47,"https://lyfta.app/images/exercises/02681101.png"
02701101,"Crujido","Waist",44,"https://lyfta.app/images/exercises/02701101.png"
02711101,"Crujido","Waist",164,"https://lyfta.app/images/exercises/02711101.png"
02731101,"Crujido","Waist",52,"https://lyfta.app/images/exercises/02731101.png"
02741101,"Piso crujiente","Waist",2,"https://lyfta.app/images/exercises/02741101.png"
02761101,"Insecto muerto","Waist",16,"https://lyfta.app/images/exercises/02761101.png"
02781101,"Rechazar flexiones","Chest",199,"https://lyfta.app/images/exercises/02781101.png"
02821101,"Rechazar abdominales","Hips",90,"https://lyfta.app/images/exercises/02821101.png"
02861101,"Press lateral alternativo con mancuernas","Shoulders",23,"https://lyfta.app/images/exercises/02861101.png"
02901101,"Press sentado en banco con mancuernas","Shoulders",53,"https://lyfta.app/images/exercises/02901101.png"
02911101,"Sentadilla en banco con mancuernas","Quadriceps Thighs",80,"https://lyfta.app/images/exercises/02911101.png"
02931101,"Remo inclinado","Back",4,"https://lyfta.app/images/exercises/02931101.png"
02941101,"Curl de bÃ­ceps con mancuernas","Biceps Upper Arms",21,"https://lyfta.app/images/exercises/02941101.png"
02961101,"Prensa de agarre cerrado","Triceps Upper Arms",24,"https://lyfta.app/images/exercises/02961101.png"
02981101,"Curl de martillo cruzado","Forearms",7,"https://lyfta.app/images/exercises/02981101.png"
03001101,"Peso muerto con mancuernas","Back",77,"https://lyfta.app/images/exercises/03001101.png"
03031101,"Press de martillo declinado con mancuernas","Chest",97,"https://lyfta.app/images/exercises/03031101.png"
03061101,"ExtensiÃ³n de trÃ­ceps declinada con mancuernas","Triceps Upper Arms",68,"https://lyfta.app/images/exercises/03061101.png"
03101101,"ElevaciÃ³n frontal","Shoulders",2,"https://lyfta.app/images/exercises/03101101.png"
03111101,"ElevaciÃ³n lateral con lata completa con mancuernas","Shoulders",30,"https://lyfta.app/images/exercises/03111101.png"
03131101,"Curl de martillo","Biceps Upper Arms",4,"https://lyfta.app/images/exercises/03131101.png"
03141101,"Press de banca inclinado con mancuernas","Chest",3,"https://lyfta.app/images/exercises/03141101.png"
03161101,"CrÃ­a inclinada con mancuernas","Chest",87,"https://lyfta.app/images/exercises/03161101.png"
03171101,"Curl inclinado con mancuernas","Biceps Upper Arms",1,"https://lyfta.app/images/exercises/03171101.png"
03181101,"Curl inclinado con mancuernas","Biceps Upper Arms",32,"https://lyfta.app/images/exercises/03181101.png"
03211101,"Press de martillo inclinado con mancuernas","Chest",90,"https://lyfta.app/images/exercises/03211101.png"
03301101,"ExtensiÃ³n de trÃ­ceps inclinada con mancuernas","Triceps Upper Arms",51,"https://lyfta.app/images/exercises/03301101.png"
03311101,"Flyes torcidos inclinados con mancuernas","Chest",50,"https://lyfta.app/images/exercises/03311101.png"
03321101,"Cruz de hierro con mancuernas","Shoulders",141,"https://lyfta.app/images/exercises/03321101.png"
03331101,"Contragolpe","Triceps Upper Arms",6,"https://lyfta.app/images/exercises/03331101.png"
03341101,"ElevaciÃ³n lateral con mancuernas","Shoulders",8,"https://lyfta.app/images/exercises/03341101.png"
03351101,"ElevaciÃ³n lateral a frontal con mancuernas","Shoulders",35,"https://lyfta.app/images/exercises/03351101.png"
03361101,"Estocada con mancuernas","Hips",18,"https://lyfta.app/images/exercises/03361101.png"
03381101,"Press de codo acostado","Triceps Upper Arms",32,"https://lyfta.app/images/exercises/03381101.png"
03391101,"Femoral Acostado Con Mancuernas","Hamstrings Thighs",42,"https://lyfta.app/images/exercises/03391101.png"
03431101,"Press con un brazo acostado con mancuernas","Chest",93,"https://lyfta.app/images/exercises/03431101.png"
03471101,"PronaciÃ³n acostada con mancuernas","Forearms",124,"https://lyfta.app/images/exercises/03471101.png"
03521101,"Press de banca con agarre neutro y mancuernas","Triceps Upper Arms",93,"https://lyfta.app/images/exercises/03521101.png"
03531101,"Curl de concentraciÃ³n con un brazo con mancuernas","Biceps Upper Arms",37,"https://lyfta.app/images/exercises/03531101.png"
03551101,"ElevaciÃ³n lateral de un brazo con mancuernas","Shoulders",56,"https://lyfta.app/images/exercises/03551101.png"
03571101,"Press con un brazo con mancuernas","Chest",132,"https://lyfta.app/images/exercises/03571101.png"
03591101,"Mosca inversa con un brazo y mancuernas","Shoulders",26,"https://lyfta.app/images/exercises/03591101.png"
03611101,"Press de hombros con un brazo y mancuernas","Shoulders",45,"https://lyfta.app/images/exercises/03611101.png"
03691101,"Curl de muÃ±eca con mancuernas sobre banco","Forearms",38,"https://lyfta.app/images/exercises/03691101.png"
03701101,"Curl de martillo de durazno con mancuernas","Forearms",93,"https://lyfta.app/images/exercises/03701101.png"
03711101,"Sentadilla plyo con mancuernas","Quadriceps Thighs",19,"https://lyfta.app/images/exercises/03711101.png"
03721101,"Curl predicador con mancuernas","Biceps Upper Arms",13,"https://lyfta.app/images/exercises/03721101.png"
03751101,"Pull-over","Chest",4,"https://lyfta.app/images/exercises/03751101.png"
03761101,"Levantamiento con mancuernas","Shoulders",74,"https://lyfta.app/images/exercises/03761101.png"
03771101,"Remo Delt Trasero con Mancuernas_hombro","Shoulders",40,"https://lyfta.app/images/exercises/03771101.png"
03791101,"ElevaciÃ³n lateral trasera con mancuernas","Shoulders",93,"https://lyfta.app/images/exercises/03791101.png"
03821101,"Curl de bÃ­ceps con agarre inverso con mancuernas","Forearms",82,"https://lyfta.app/images/exercises/03821101.png"
