ejercicio,musculo,source,matched_catalog_ids,reason
"Peso muerto sumo - Postura final","Hips","lyfta","00004410","lyfta_entry_without_local_image"
"Pose de culturismo masculino","n u l l","lyfta","00004504","lyfta_entry_without_local_image"
"Postura de culturismo masculino-femenino","n u l l","lyfta","00004505|00004506","lyfta_entry_without_local_image"
"Postura amplia de peso muerto","Hips","lyfta","00004507","lyfta_entry_without_local_image"
"Postura de Arnold","n u l l","lyfta","00004508|00004509","lyfta_entry_without_local_image"
"Postura de bÃ­ceps con mancuernas","Biceps Upper Arms","lyfta","00004515","lyfta_entry_without_local_image"
"Postura de pie","Full body","lyfta","00004903|00004904","lyfta_entry_without_local_image"
"Estocada con elevaciÃ³n de piernas","Plyometrics","lyfta","00005033|35811101","lyfta_entry_without_local_image"
"Mentir alrededor del mundo","Shoulders","lyfta","00005048","lyfta_entry_without_local_image"
"HiperextensiÃ³n del suelo tumbado","Hips","lyfta","00005049","lyfta_entry_without_local_image"
"HiperextensiÃ³n en el suelo tumbado con toalla","Hips","lyfta","00005051","lyfta_entry_without_local_image"
"Punta del pie en cuclillas","Thighs","lyfta","00005145","lyfta_entry_without_local_image"
"ElevaciÃ³n de piernas alternativa con cabeza arriba","Waist","lyfta","00005214","lyfta_entry_without_local_image"
"V arriba con aplauso","Waist","lyfta","00005216|00005473","lyfta_entry_without_local_image"
"Toque del talÃ³n de 90 grados","Waist","lyfta","00005219","lyfta_entry_without_local_image"
"Crunch de 8 piernas sentado","Waist","lyfta","00005233","lyfta_entry_without_local_image"
"Crunch de rodillas con banda","Waist","lyfta","00005290|00005866|09041101","lyfta_entry_without_local_image"
"Crunch inverso de banda","Waist","lyfta","00005291","lyfta_entry_without_local_image"
"Curva lateral aÃ©rea de banda","Waist","lyfta","00005292","lyfta_entry_without_local_image"
"Crunch superior de la banda","Waist","lyfta","00005293","lyfta_entry_without_local_image"
"Curl de bÃ­ceps horizontal con banda","Biceps Upper Arms","lyfta","00005294","lyfta_entry_without_local_image"
"Curl de bÃ­ceps estÃ¡ndar con banda","Biceps Upper Arms","lyfta","00005296","lyfta_entry_without_local_image"
"Curl de bÃ­ceps con banda de 45 grados","Biceps Upper Arms","lyfta","00005297","lyfta_entry_without_local_image"
"Sentadilla dividida en banda","Quadriceps Thighs","lyfta","00005345","lyfta_entry_without_local_image"
"AbducciÃ³n cruzada en banda","Hips","lyfta","00005346","lyfta_entry_without_local_image"
"Giro en cuclillas con banda","Waist","lyfta","00005347","lyfta_entry_without_local_image"
"Pressdown con agarre inverso y acostado con banda","Upper Arms","lyfta","00005352","lyfta_entry_without_local_image"
"Banda Inclinada Sobre Lat Pulldown","Back","lyfta","00005354","lyfta_entry_without_local_image"
"Remo con giro de un solo brazo de pie con banda","Back","lyfta","00005356","lyfta_entry_without_local_image"
"Banda Agarre Estrecho Remo Alto","Back","lyfta","00005357|00005358","lyfta_entry_without_local_image"
"Crujido con toque de rodilla","Waist","lyfta","00005471|36401101","lyfta_entry_without_local_image"
"Peso muerto con piernas rectas y mancuernas","Hips","lyfta","00005491","lyfta_entry_without_local_image"
"Sentadilla patinadora contrapesada","Thighs","lyfta","00005561","lyfta_entry_without_local_image"
"Toque de suelo en cuclillas de sumo","Hips","lyfta","00005613","lyfta_entry_without_local_image"
"Paso alterno","Plyometrics","lyfta","00005628","lyfta_entry_without_local_image"
"Curl alterno de isquiotibiales con Punche","Plyometrics","lyfta","00005629","lyfta_entry_without_local_image"
"Estocada diagonal","Plyometrics","lyfta","00005733","lyfta_entry_without_local_image"
"Step-up con mancuernas y elevaciÃ³n de rodillas","Hips","lyfta","00005746","lyfta_entry_without_local_image"
"Contragolpe de agarre neutro del cable","Triceps Upper Arms","lyfta","00005747","lyfta_entry_without_local_image"
"Rollo tensor de la fascia lata","Hips","lyfta","00005779","lyfta_entry_without_local_image"
"Rollo Iliospsoas","Hips","lyfta","00005780","lyfta_entry_without_local_image"
"Rueda de bola en la parte inferior de la espalda","Hips","lyfta","00005781","lyfta_entry_without_local_image"
"Estiramiento de libro abierto","n u l l","lyfta","00005782","lyfta_entry_without_local_image"
"Estiramiento de rejilla frontal de PVC","Back","lyfta","00005784","lyfta_entry_without_local_image"
"Buenos dÃ­as PVC","Hips","lyfta","00005785","lyfta_entry_without_local_image"
"Bisagra de cadera de PVC","Hips","lyfta","00005786","lyfta_entry_without_local_image"
"Sentadilla por encima de la cabeza con PVC","Quadriceps Thighs","lyfta","00005787","lyfta_entry_without_local_image"
"Acostado de lado a lado de rodilla","Hips","lyfta","00005789","lyfta_entry_without_local_image"
"Peso corporal de pie alrededor del mundo apoyado en la pared","Shoulders","lyfta","00005791","lyfta_entry_without_local_image"
"Press militar de pie con peso corporal apoyado en la pared","Shoulders","lyfta","00005792","lyfta_entry_without_local_image"
"Remolinos de cadera","Hips","lyfta","00005794","lyfta_entry_without_local_image"
"Peso muerto con banda","Hips","lyfta","00005796|08951101","lyfta_entry_without_local_image"
"Balanceos de piernas de lado a lado","Hips","lyfta","00005808|25741101","lyfta_entry_without_local_image"
"Giro ruso con las manos en el pecho","Waist","lyfta","00005810","lyfta_entry_without_local_image"
"De pie, con una sola pierna, patada alta desde la rodilla hasta el trasero con apoyo","Hips","lyfta","00005811","lyfta_entry_without_local_image"
"Pulso de rodillas","Hips","lyfta","00005813","lyfta_entry_without_local_image"
"FlexiÃ³n de rodillas con golpe de hombro","Plyometrics","lyfta","00005815","lyfta_entry_without_local_image"
"Palma arriba Palma abajo RotaciÃ³n","Shoulders","lyfta","00005822","lyfta_entry_without_local_image"
"Patada con rodilla doblada hacia atrÃ¡s y hacia el costado","Hips","lyfta","00005824|00005848","lyfta_entry_without_local_image"
"Puente de glÃºteos con pierna sobre rodilla","Hips","lyfta","00005846|46701301","lyfta_entry_without_local_image"
"Arrodillarse con la pierna lateral para patear","Hips","lyfta","00005847","lyfta_entry_without_local_image"
"Medio cÃ­rculo con la pierna arrodillada","Hips","lyfta","00005849","lyfta_entry_without_local_image"
"Superman alterno","Hips","lyfta","00005858|00005861","lyfta_entry_without_local_image"
"InmersiÃ³n en banco con mancuernas","Upper Arms","lyfta","00005874","lyfta_entry_without_local_image"
"InmersiÃ³n en banco con mancuernas y piernas elevadas","Upper Arms","lyfta","00005875","lyfta_entry_without_local_image"
"Press de banca con puente con mancuernas","Chest","lyfta","00005877","lyfta_entry_without_local_image"
"Crujido de torsiÃ³n de aire","Waist","lyfta","00041101","lyfta_entry_without_local_image"
"ElevaciÃ³n asistida de rodillas colgantes","Waist","lyfta","00111101","lyfta_entry_without_local_image"
"ElevaciÃ³n de piernas acostada asistida con lanzamiento hacia abajo","Waist","lyfta","00131101","lyfta_entry_without_local_image"
"Pull-up con agarre cerrado paralelo asistido","Back","lyfta","00151101","lyfta_entry_without_local_image"
"Isquiotibial en decÃºbito prono asistido","Hamstrings Thighs","lyfta","00161101","lyfta_entry_without_local_image"
"InmersiÃ³n de trÃ­ceps asistida","Triceps Upper Arms","lyfta","00191101|25751101","lyfta_entry_without_local_image"
"Abdominales con pelota","Waist","lyfta","00211101","lyfta_entry_without_local_image"
"Jersey con barra para presionar","Back","lyfta","00221101","lyfta_entry_without_local_image"
"Jersey con brazo doblado rechazado","Back","lyfta","00341101","lyfta_entry_without_local_image"
"Jersey con agarre ancho Decline","Back","lyfta","00371101","lyfta_entry_without_local_image"
"Sentadilla frontal con pecho","Quadriceps Thighs","lyfta","00391101","lyfta_entry_without_local_image"
"Sentadilla frontal","Hips","lyfta","00421101","lyfta_entry_without_local_image"
"Press de banca con barra y guillotina","Chest","lyfta","00451101","lyfta_entry_without_local_image"
"ElevaciÃ³n de hombros inclinada con barra","Chest","lyfta","00501101","lyfta_entry_without_local_image"
"Estocada con barra","Quadriceps Thighs","lyfta","00541101|24781101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps con agarre cerrado y tumbado con barra","Triceps Upper Arms","lyfta","00561101","lyfta_entry_without_local_image"
"Acostado Levantando","Hips","lyfta","00581101","lyfta_entry_without_local_image"
"Remo estrecho con barra","Back","lyfta","00621101","lyfta_entry_without_local_image"
"Remo con barra inclinada con un brazo","Back","lyfta","00641101","lyfta_entry_without_local_image"
"Arranque con barra a un brazo","Shoulders","lyfta","00671101","lyfta_entry_without_local_image"
"Tirador del estante con barra","Hips","lyfta","00741101","lyfta_entry_without_local_image"
"Remo deltoides trasero","Shoulders","lyfta","00761101","lyfta_entry_without_local_image"
"Estocada trasera","Quadriceps Thighs","lyfta","00781101","lyfta_entry_without_local_image"
"Curl de concentraciÃ³n sentado con agarre cerrado","Biceps Upper Arms","lyfta","00891101","lyfta_entry_without_local_image"
"Sentado Buenos dias","Hips","lyfta","00901101","lyfta_entry_without_local_image"
"Lado de barra doblado","Waist","lyfta","00961101","lyfta_entry_without_local_image"
"Sentadilla lateral dividida con barra","Quadriceps Thighs","lyfta","00981101","lyfta_entry_without_local_image"
"Curl de muÃ±eca de pie con barra hacia atrÃ¡s","Forearms","lyfta","01041101|24811101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con barra de pie y mecedora","Calves","lyfta","01111101","lyfta_entry_without_local_image"
"Curl con agarre ancho de pie con barra","Biceps Upper Arms","lyfta","01131101","lyfta_entry_without_local_image"
"Buenos dÃ­as con pierna rÃ­gida con barra","Hamstrings Thighs","lyfta","01151101","lyfta_entry_without_local_image"
"Peso muerto con pierna recta con barra","Hamstrings Thighs","lyfta","01161101|35941101","lyfta_entry_without_local_image"
"Agarre inverso con barra inclinada sobre remo","Back","lyfta","01181101","lyfta_entry_without_local_image"
"Remo vertical con barra y agarre ancho","Shoulders","lyfta","01231101","lyfta_entry_without_local_image"
"Sentadilla ancha con barra","Quadriceps Thighs","lyfta","01241101|25181101","lyfta_entry_without_local_image"
"Sentadilla Zercher con barra","Hips","lyfta","01271101","lyfta_entry_without_local_image"
"Cuerdas de batalla","Shoulders","lyfta","01281101|25651101","lyfta_entry_without_local_image"
"ExtensiÃ³n de cadera en banco","Hips","lyfta","01301101","lyfta_entry_without_local_image"
"Plancha lateral con rodillas dobladas","Waist","lyfta","01331101","lyfta_entry_without_local_image"
"FlexiÃ³n de rodilla lateral doblada","Hips","lyfta","01341101","lyfta_entry_without_local_image"
"Estiramiento del barco","Waist","lyfta","01361101|42791101","lyfta_entry_without_local_image"
"Cuerpo hacia arriba","Shoulders","lyfta","01371101","lyfta_entry_without_local_image"
"Puente - Alpinista","Waist","lyfta","01411101|24661101","lyfta_entry_without_local_image"
"JalÃ³n lateral con barra de cable","Back","lyfta","01501101|22471101","lyfta_entry_without_local_image"
"ExtensiÃ³n de concentraciÃ³n","Triceps Upper Arms","lyfta","01521101","lyfta_entry_without_local_image"
"VariaciÃ³n del cruce de cables","Chest","lyfta","01551101","lyfta_entry_without_local_image"
"Remo con agarre ancho sentado en el suelo con cable","Back","lyfta","01601101","lyfta_entry_without_local_image"
"Fila sentada delantera con cable","Back","lyfta","01631101","lyfta_entry_without_local_image"
"AducciÃ³n de cadera","Thighs","lyfta","01681101","lyfta_entry_without_local_image"
"Press de banca inclinado","Chest","lyfta","01691101","lyfta_entry_without_local_image"
"Empuje inclinado","Back","lyfta","01721101","lyfta_entry_without_local_image"
"JalÃ³n lateral del cable","Back","lyfta","01771101","lyfta_entry_without_local_image"
"mosca mentirosa","Chest","lyfta","01851101","lyfta_entry_without_local_image"
"Cable Un Brazo Inclinado Sobre Remo","Back","lyfta","01891101","lyfta_entry_without_local_image"
"Curl de predicador de cable","Biceps Upper Arms","lyfta","01951101","lyfta_entry_without_local_image"
"Empuje hacia abajo","Back","lyfta","01991101","lyfta_entry_without_local_image"
"Curl inverso del cable","Forearms","lyfta","02061101","lyfta_entry_without_local_image"
"Empuje con agarre inverso del cable","Triceps Upper Arms","lyfta","02071101","lyfta_entry_without_local_image"
"Remo alto sentado con respaldo recto y agarre inverso","Back","lyfta","02081101","lyfta_entry_without_local_image"
"Curl de muÃ±eca invertido con cable","Forearms","lyfta","02101101","lyfta_entry_without_local_image"
"RotaciÃ³n interna del hombro sentado","Back","lyfta","02161101","lyfta_entry_without_local_image"
"Press de hombros con cable","Shoulders","lyfta","02191101|30661101","lyfta_entry_without_local_image"
"Curl de muÃ±eca con cable hacia atrÃ¡s","Forearms","lyfta","02241101","lyfta_entry_without_local_image"
"Mosca de pie","Chest","lyfta","02271101","lyfta_entry_without_local_image"
"Remo Delt Trasero De Pie Con Cable","Shoulders","lyfta","02331101|28821101","lyfta_entry_without_local_image"
"Fila de pie de cable","Back","lyfta","02341101","lyfta_entry_without_local_image"
"RotaciÃ³n externa del hombro de pie","Back","lyfta","02351101","lyfta_entry_without_local_image"
"Cable desplegable con brazo recto","Back","lyfta","02371101|02381101|10671101","lyfta_entry_without_local_image"
"Crujido inverso de flexiÃ³n de cables","Waist","lyfta","02421101","lyfta_entry_without_local_image"
"Estiramiento de la barbilla al pecho","Waist","lyfta","02521101|45091101","lyfta_entry_without_local_image"
"Brazo de cÃ­rculos","Shoulders","lyfta","02541101|39961301","lyfta_entry_without_local_image"
"Brazo de codo de cÃ­rculos","Shoulders","lyfta","02561101","lyfta_entry_without_local_image"
"Flexiones de reloj","Chest","lyfta","02581101","lyfta_entry_without_local_image"
"Gatos cruzados","Cardio","lyfta","02641101","lyfta_entry_without_local_image"
"Press sentado en banco con mancuernas","Shoulders","lyfta","02901101","lyfta_entry_without_local_image"
"Sentadilla en banco con mancuernas","Quadriceps Thighs","lyfta","02911101|22171101","lyfta_entry_without_local_image"
"Prensa de agarre cerrado","Triceps Upper Arms","lyfta","02961101","lyfta_entry_without_local_image"
"Press de martillo declinado con mancuernas","Chest","lyfta","03031101","lyfta_entry_without_local_image"
"ElevaciÃ³n lateral con lata completa con mancuernas","Shoulders","lyfta","03111101|25831101","lyfta_entry_without_local_image"
"Press de banca inclinado con mancuernas","Chest","lyfta","03141101|24411101","lyfta_entry_without_local_image"
"CrÃ­a inclinada con mancuernas","Chest","lyfta","03161101","lyfta_entry_without_local_image"
"Curl inclinado con mancuernas","Biceps Upper Arms","lyfta","03171101|03181101","lyfta_entry_without_local_image"
"Press de martillo inclinado con mancuernas","Chest","lyfta","03211101|25041101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps inclinada con mancuernas","Triceps Upper Arms","lyfta","03301101|25071101","lyfta_entry_without_local_image"
"Flyes torcidos inclinados con mancuernas","Chest","lyfta","03311101","lyfta_entry_without_local_image"
"Contragolpe","Triceps Upper Arms","lyfta","03331101|08601101","lyfta_entry_without_local_image"
"ElevaciÃ³n lateral a frontal con mancuernas","Shoulders","lyfta","03351101","lyfta_entry_without_local_image"
"Press de codo acostado","Triceps Upper Arms","lyfta","03381101","lyfta_entry_without_local_image"
"Femoral Acostado Con Mancuernas","Hamstrings Thighs","lyfta","03391101|26691101","lyfta_entry_without_local_image"
"PronaciÃ³n acostada con mancuernas","Forearms","lyfta","03471101","lyfta_entry_without_local_image"
"Press de banca con agarre neutro y mancuernas","Triceps Upper Arms","lyfta","03521101","lyfta_entry_without_local_image"
"Curl de concentraciÃ³n con un brazo con mancuernas","Biceps Upper Arms","lyfta","03531101|25901101","lyfta_entry_without_local_image"
"Press con un brazo con mancuernas","Chest","lyfta","03571101","lyfta_entry_without_local_image"
"Curl de muÃ±eca con mancuernas sobre banco","Forearms","lyfta","03691101|26311101","lyfta_entry_without_local_image"
"Curl de martillo de durazno con mancuernas","Forearms","lyfta","03701101","lyfta_entry_without_local_image"
"Sentadilla plyo con mancuernas","Quadriceps Thighs","lyfta","03711101","lyfta_entry_without_local_image"
"Curl predicador con mancuernas","Biceps Upper Arms","lyfta","03721101|23851101","lyfta_entry_without_local_image"
"Pull-over","Chest","lyfta","03751101","lyfta_entry_without_local_image"
"Levantamiento con mancuernas","Shoulders","lyfta","03761101","lyfta_entry_without_local_image"
"Remo Delt Trasero con Mancuernas_hombro","Shoulders","lyfta","03771101","lyfta_entry_without_local_image"
"Curl de bÃ­ceps con agarre inverso con mancuernas","Forearms","lyfta","03821101","lyfta_entry_without_local_image"
"Mosca inversa con mancuernas","Shoulders","lyfta","03831101","lyfta_entry_without_local_image"
"ElevaciÃ³n frontal alternativa sentado con mancuernas","Shoulders","lyfta","03871101|25951101","lyfta_entry_without_local_image"
"ElevaciÃ³n frontal sentado con mancuernas","Shoulders","lyfta","03921101|22351101","lyfta_entry_without_local_image"
"Curl de bÃ­ceps interno sentado con mancuernas","Biceps Upper Arms","lyfta","03931101","lyfta_entry_without_local_image"
"RotaciÃ³n de un brazo sentado con mancuernas","Forearms","lyfta","03991101","lyfta_entry_without_local_image"
"Press superior alternativo de pie con mancuernas","Shoulders","lyfta","04141101","lyfta_entry_without_local_image"
"ElevaciÃ³n alternativa de pie con mancuernas","Shoulders","lyfta","04151101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla de pie con mancuernas","Calves","lyfta","04171101|22101101","lyfta_entry_without_local_image"
"Curl de concentraciÃ³n de pie con mancuernas","Biceps Upper Arms","lyfta","04181101","lyfta_entry_without_local_image"
"ElevaciÃ³n frontal de pie con mancuernas por encima de la cabeza","Shoulders","lyfta","04191101","lyfta_entry_without_local_image"
"Curl de concentraciÃ³n con un brazo de pie con mancuernas","Biceps Upper Arms","lyfta","04211101","lyfta_entry_without_local_image"
"Sentadilla sumo con mancuernas","Quadriceps Thighs","lyfta","04351101|23221101|23231101","lyfta_entry_without_local_image"
"Press Tate con mancuernas","Triceps Upper Arms","lyfta","04361101","lyfta_entry_without_local_image"
"Curl Zottman","Biceps Upper Arms","lyfta","04391101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps inclinada con barra EZ","Triceps Upper Arms","lyfta","04491101","lyfta_entry_without_local_image"
"Curl con agarre inverso","Forearms","lyfta","04511101","lyfta_entry_without_local_image"
"Curl predicador con agarre inverso","Forearms","lyfta","04521101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps sentado","Triceps Upper Arms","lyfta","04531101","lyfta_entry_without_local_image"
"Barbilla de gorila","Waist","lyfta","04671101|26511101","lyfta_entry_without_local_image"
"Crujido de ingle","Waist","lyfta","04691101|30891101","lyfta_entry_without_local_image"
"Crunch con la mano opuesta a la rodilla","Waist","lyfta","04701101","lyfta_entry_without_local_image"
"ElevaciÃ³n de piernas colgantes","Hips","lyfta","04721101","lyfta_entry_without_local_image"
"Crujido de elevaciÃ³n de cadera","Hips","lyfta","04871101","lyfta_entry_without_local_image"
"Flexiones inclinadas con agarre cerrado","Shoulders","lyfta","04901101","lyfta_entry_without_local_image"
"Flexiones con agarre inverso inclinado","Chest","lyfta","04941101","lyfta_entry_without_local_image"
"Limpiaparabrisas isomÃ©tricos","Chest","lyfta","05001101","lyfta_entry_without_local_image"
"Cuchillo Jack en bola","Waist","lyfta","05031101","lyfta_entry_without_local_image"
"Abdominales Janda","Waist","lyfta","05081101","lyfta_entry_without_local_image"
"Saltar paso a paso","Cardio","lyfta","05151101|37651101","lyfta_entry_without_local_image"
"Press alternativo con pesas rusas","Shoulders","lyfta","05201101","lyfta_entry_without_local_image"
"Sentadilla en copa con pesa rusa","Quadriceps Thighs","lyfta","05341101|23561101","lyfta_entry_without_local_image"
"Paso de estocada con pesa rusa","Quadriceps Thighs","lyfta","05361101|25361101","lyfta_entry_without_local_image"
"TirÃ³n con un brazo con pesa rusa","Shoulders","lyfta","05381101","lyfta_entry_without_local_image"
"Sentadilla con pistola y pesa rusa","Quadriceps Thighs","lyfta","05441101","lyfta_entry_without_local_image"
"Press sentado con pesas rusas","Shoulders","lyfta","05461101","lyfta_entry_without_local_image"
